Part Number,Product Name,Description,Price 2025,Price 2024,Category,Subcategory,Product Line,Model Info,Parent Assembly,Vendor
P5404-CCE,4 Prong plug w/housing,,Call for price,Call for price,Other,POWER ASSIST,119- Rollout TP Pricing,,,Hussey
S5404-SB,4 Prong sock w/flush mount,,Call for price,Call for price,Other,POWER ASSIST,119- Rollout TP Pricing,,,Hussey
P5404-SB,4 Prong plug w/flush mount,,Call for price,Call for price,Other,POWER ASSIST,119- Rollout TP Pricing,,,Hussey
RCH8652K8,Trigger switch,,198.30,155.00,Other,POWER ASSIST,119- Rollout TP Pricing,,,Hussey
0121-0003,Forward & Rev. Toggle,,36.60,28.50,Other,POWER ASSIST,119- Rollout TP Pricing,,,Hussey
1036428,"Pow-r-trac 6"" x 4"" (gray) w/push ring",1-23,72.75,62.55,Rollout Parts,"POW-R-TRAC WHEEL (PRT3, PRT4 & MAXAM)",119- Rollout TP Pricing,,,Hussey
1036428,"Pow-r-trac 6"" x 4"" (gray) w/push ring",24-UP,55.20,45.00,Rollout Parts,"POW-R-TRAC WHEEL (PRT3, PRT4 & MAXAM)",119- Rollout TP Pricing,,,Hussey
1033936,Push ring 7/8 (1 required per wheel) - included w/wheel,,1.20,0.90,Rollout Parts,"POW-R-TRAC WHEEL (PRT3, PRT4 & MAXAM)",119- Rollout TP Pricing,,,Hussey
2071002,Brown wheel (20T and above),Old color: Orange,229.10,170.90,Rollout Parts,"POW-R-TRAC WHEEL (PRT3, PRT4 & MAXAM)",119- Rollout TP Pricing,,,Hussey
1037948,"Key 3/16 x 1"" sq (use w/wheels)",,0.75,0.65,Rollout Parts,"POW-R-TRAC WHEEL (PRT3, PRT4 & MAXAM)",119- Rollout TP Pricing,,,Hussey
,Portable Dollies (pair),,Call for price,Call for price,Portable & Skids,DOLLY,119- Rollout TP Pricing,,,Hussey
1011346,"3T jack w/1"" pipe & sleeve (works on all portable dollies)",,687.35,506.90,Portable & Skids,DOLLY,119- Rollout TP Pricing,,,Hussey
1042371,RO26 deck support for foot level aisle RH,,163.35,87.25,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
1014746,RO26 deck support for foot level aisle LH,,233.25,136.25,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
1014152,R026 seat support,,67.50,47.15,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
1007863,RO26 Deck Doubler,,432.10,276.25,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
1005964,Seat support repair,,30.20,21.20,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
2104045,M2000 Seat & Deck support RH,,291.35,200.00,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
2104066,M2000 Seat & Deck support LH,,309.10,189.25,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
2103799,M2000 Deck Doubler,,590.25,410.10,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
2108966,M2000 1st Tier seat support RH,,211.75,148.30,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
2108967,M2000 1st Tier seat support LH,,152.90,107.05,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
1009591,M2000 seat support,,146.95,102.90,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
M002537,"M100 22"" deck support RH",,79.45,55.80,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
M002548,"M100 22"" deck support LH",,168.85,118.50,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
M002551,"M100 24"" deck support RH",,169.35,1118.80,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
M002552,"M100 24"" deck support LH",,169.35,118.80,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
1013824,M100 Diaphrams,,38.50,27.05,Other,OLD MODEL PARTS,119- Rollout TP Pricing,,,Hussey
