Product Name,Product Description,Part #,Price2025,Price2024,Price2023,Price2022,Quantity,Spec 1,Spec 2,Spec 3,Color (picklist?)
          MS ½ x 1 ½    (2 per power assist),,1000683,,$0.45,$0.45,$0.45,,119- Rollout TP Pricing,POWER ASSIST,Tractor attachment for power assist LH (old-M20-24),
          ½ Hex Nut   (2 per power assist),,1000753,$0.55,$0.15,$0.15,$0.15,,119- Rollout TP Pricing,POWER ASSIST,Tractor attachment for power assist LH (old-M20-24),
          ½ LK Washer   (2 per power assist),,1000786,$0.20,$0.15,$0.15,$0.15,,119- Rollout TP Pricing,POWER ASSIST,Tractor attachment for power assist LH (old-M20-24),
          ½ FL Washer    (4 per power assist),,1000789,$0.15,$0.10,$0.10,$0.10,,119- Rollout TP Pricing,POWER ASSIST,Tractor attachment for power assist LH (old-M20-24),
Power Assist Motor (1/2 HP),,M048068,$0.15,"$1,317.65","$1,317.65","$1,317.65",,119- Rollout TP Pricing,POWER ASSIST,,
Power Assist Roller,,B47-5-30,Call for price,Call for price,Call for price,$0.00,,119- Rollout TP Pricing,POWER ASSIST,,
Roller Sprockets,,A47-5-6840B12,Call for price,Call for price,Call for price,$0.00,,119- Rollout TP Pricing,POWER ASSIST,,
4 Prong socket w/housing,,S5405-CCE,Call for price,Call for price,Call for price,$0.00,,119- Rollout TP Pricing,POWER ASSIST,,
4 Prong plug w/housing,,P5404-CCE,Call for price,Call for price,Call for price,$0.00,,119- Rollout TP Pricing,POWER ASSIST,,
4 Prong sock w/flush mount,,S5404-SB,Call for price,Call for price,Call for price,$0.00,,119- Rollout TP Pricing,POWER ASSIST,,
4 Prong plug w/flush mount,,P5404-SB,Call for price,Call for price,Call for price,$0.00,,119- Rollout TP Pricing,POWER ASSIST,,
Trigger switch,,RCH8652K8,$198.30,$155.00,$155.00,$155.00,,119- Rollout TP Pricing,POWER ASSIST,,
Forward & Rev. Toggle ,,0121-0003,$36.60,$28.50,$28.50,$28.50,,119- Rollout TP Pricing,POWER ASSIST,,
"Pow-r-trac 6"" x 4"" (gray) w/push ring",1-23,1036428,$72.75,$62.55,$60.55,$60.55,,119- Rollout TP Pricing,"POW-R-TRAC WHEEL (PRT3, PRT4 & MAXAM)",,
"Pow-r-trac 6"" x 4"" (gray) w/push ring",24-UP,1036428,$55.20,$45.00,$45.00,$60.55,,119- Rollout TP Pricing,"POW-R-TRAC WHEEL (PRT3, PRT4 & MAXAM)",,
Push ring 7/8 (1 required per wheel) - included w/wheel,,1033936,$1.20,$0.90,$0.90,$0.80,,119- Rollout TP Pricing,"POW-R-TRAC WHEEL (PRT3, PRT4 & MAXAM)",,
Brown wheel (20T and above),Old color: Orange ,2071002,$229.10,$170.90,$150.80,$132.80,,119- Rollout TP Pricing,"POW-R-TRAC WHEEL (PRT3, PRT4 & MAXAM)",,Brown
"Key 3/16 x 1"" sq (use w/wheels)",,1037948,$0.75,$0.65,$0.65,$0.65,,119- Rollout TP Pricing,"POW-R-TRAC WHEEL (PRT3, PRT4 & MAXAM)",,
Portable Dollies (pair),,,Call for price,Call for price,,$0.00,,119- Rollout TP Pricing,DOLLY,,
"3T jack w/1"" pipe & sleeve (works on all portable dollies)",,1011346,$687.35,$506.90,$430.90,$430.90,,119- Rollout TP Pricing,DOLLY,,
RO26 deck support for foot level aisle RH,,1042371,$163.35,$87.25,$68.95,$68.25,,119- Rollout TP Pricing,OLD MODEL PARTS,,
RO26 deck support for foot level aisle LH,,1014746,$233.25,$136.25,$123.90,$123.90,,119- Rollout TP Pricing,OLD MODEL PARTS,,
R026 seat support,,1014152,$67.50,$47.15,$38.15,$38.15,,119- Rollout TP Pricing,OLD MODEL PARTS,,
RO26 Deck Doubler,,1007863,$432.10,$276.25,$216.55,$206.00,,119- Rollout TP Pricing,OLD MODEL PARTS,,
Seat support repair ,,1005964,$30.20,$21.20,$18.70,$18.70,,119- Rollout TP Pricing,OLD MODEL PARTS,,
M2000 Seat & Deck support RH  ,,2104045,$291.35,$200.00,$119.95,$119.95,,119- Rollout TP Pricing,OLD MODEL PARTS,,
M2000 Seat & Deck support LH  ,,2104066,$309.10,$189.25,$104.45,$104.45,,119- Rollout TP Pricing,OLD MODEL PARTS,,
M2000 Deck Doubler,,2103799,$590.25,$410.10,$282.15,$272.90,,119- Rollout TP Pricing,OLD MODEL PARTS,,
M2000 1st Tier seat support RH,,2108966,$211.75,$148.30,$47.65,$47.65,,119- Rollout TP Pricing,OLD MODEL PARTS,,
M2000 1st Tier seat support LH,,2108967,$152.90,$107.05,$47.05,$47.05,,119- Rollout TP Pricing,OLD MODEL PARTS,,
M2000 seat support,,1009591,$146.95,$102.90,$45.75,$45.75,,119- Rollout TP Pricing,OLD MODEL PARTS,,
"M100 22"" deck support RH",,M002537,$79.45,$55.80,$46.95,$46.95,,119- Rollout TP Pricing,OLD MODEL PARTS,,
